age,mx,qx,lx,dx,ex
0,0.004311,0.004302,100000,430.2,78.58
1,0.000228,0.000228,99569.8,22.7,77.92
2,0.000146,0.000146,99547.1,14.5,76.93
3,0.000115,0.000115,99532.6,11.5,75.95
4,8.2e-05,8.2e-05,99521.1,8.1,74.95
5,7e-05,7e-05,99513,7,73.96
6,6.8e-05,6.8e-05,99506,6.8,72.97
7,8.1e-05,8.1e-05,99499.2,8,71.97
8,7.5e-05,7.5e-05,99491.2,7.4,70.98
9,7.3e-05,7.3e-05,99483.8,7.3,69.98
10,6e-05,6e-05,99476.5,6,68.99
11,7.4e-05,7.4e-05,99470.5,7.4,67.99
12,0.000105,0.000105,99463.1,10.5,67
13,0.000108,0.000108,99452.7,10.7,66
14,0.000117,0.000117,99441.9,11.6,65.01
15,0.000168,0.000168,99430.3,16.7,64.02
16,0.000214,0.000214,99413.7,21.3,63.03
17,0.000298,0.000298,99392.4,29.6,62.04
18,0.000407,0.000407,99362.8,40.4,61.06
19,0.000474,0.000474,99322.4,47,60.08
20,0.000497,0.000497,99275.4,49.3,59.11
21,0.000514,0.000513,99226.1,50.9,58.14
22,0.000488,0.000488,99175.1,48.4,57.17
23,0.000567,0.000567,99126.7,56.2,56.2
24,0.00053,0.00053,99070.5,52.5,55.23
25,0.000585,0.000585,99018.1,57.9,54.26
26,0.000662,0.000662,98960.1,65.5,53.29
27,0.000642,0.000642,98894.7,63.5,52.33
28,0.000676,0.000676,98831.2,66.8,51.36
29,0.000728,0.000728,98764.4,71.9,50.39
30,0.000766,0.000765,98692.5,75.5,49.43
31,0.000838,0.000838,98617,82.6,48.47
32,0.000924,0.000923,98534.3,91,47.51
33,0.000978,0.000978,98443.4,96.3,46.55
34,0.001018,0.001017,98347.1,100,45.6
35,0.001104,0.001103,98247.1,108.4,44.64
36,0.001232,0.001231,98138.7,120.8,43.69
37,0.001326,0.001325,98017.9,129.9,42.74
38,0.001424,0.001423,97888,139.3,41.8
39,0.001638,0.001637,97748.7,160,40.86
40,0.001704,0.001703,97588.7,166.2,39.93
41,0.001888,0.001886,97422.5,183.7,38.99
42,0.001944,0.001942,97238.8,188.8,38.07
43,0.002107,0.002105,97050,204.3,37.14
44,0.002284,0.002281,96845.7,220.9,36.22
45,0.002557,0.002554,96624.7,246.8,35.3
46,0.002762,0.002758,96378,265.8,34.39
47,0.002952,0.002948,96112.2,283.3,33.48
48,0.003277,0.003271,95828.8,313.5,32.58
49,0.003564,0.003558,95515.3,339.8,31.68
50,0.003859,0.003851,95175.5,366.5,30.79
51,0.004115,0.004107,94809,389.3,29.91
52,0.00452,0.00451,94419.6,425.8,29.03
53,0.004711,0.0047,93993.8,441.8,28.16
54,0.005193,0.00518,93552.1,484.6,27.29
55,0.00553,0.005514,93067.5,513.2,26.43
56,0.00602,0.006002,92554.3,555.5,25.58
57,0.006535,0.006514,91998.8,599.3,24.73
58,0.007018,0.006993,91399.5,639.2,23.89
59,0.007699,0.007669,90760.4,696.1,23.05
60,0.008489,0.008453,90064.3,761.3,22.23
61,0.009228,0.009186,89303,820.3,21.41
62,0.010124,0.010073,88482.7,891.3,20.6
63,0.011073,0.011012,87591.4,964.5,19.81
64,0.011872,0.011802,86626.9,1022.4,19.02
65,0.013157,0.013071,85604.5,1118.9,18.24
66,0.014648,0.014542,84485.6,1228.6,17.48
67,0.015877,0.015752,83257,1311.5,16.73
68,0.017405,0.017255,81945.5,1414,15.99
69,0.018973,0.018795,80531.6,1513.6,15.26
70,0.020636,0.020426,79018,1614,14.54
71,0.022509,0.022258,77404,1722.9,13.84
72,0.024863,0.024557,75681.1,1858.5,13.14
73,0.026673,0.026322,73822.6,1943.2,12.46
74,0.029363,0.028938,71879.4,2080.1,11.78
75,0.032948,0.032414,69799.4,2262.5,11.12
76,0.038044,0.037334,67536.9,2521.4,10.48
77,0.041482,0.040639,65015.4,2642.2,9.86
78,0.046944,0.045867,62373.3,2860.9,9.26
79,0.052915,0.051551,59512.4,3067.9,8.68
80,0.060156,0.0584,56444.5,3296.3,8.12
81,0.066583,0.064438,53148.1,3424.7,7.6
82,0.074969,0.072261,49723.4,3593,7.09
83,0.082816,0.079523,46130.3,3668.4,6.6
84,0.093478,0.089304,42461.9,3792,6.13
85,0.104915,0.099686,38669.9,3854.8,5.68
86,0.118563,0.111927,34815.1,3896.8,5.25
87,0.135481,0.126886,30918.3,3923.1,4.85
88,0.152123,0.14137,26995.2,3816.3,4.48
89,0.170411,0.157031,23178.9,3639.8,4.14
90,0.192799,0.175848,19539.1,3435.9,3.81
91,0.214866,0.194022,16103.2,3124.4,3.52
92,0.239688,0.214037,12978.8,2778,3.25
93,0.269842,0.237763,10200.9,2425.4,3
94,0.297687,0.259119,7775.5,2014.8,2.78
95,0.331996,0.284731,5760.7,1640.3,2.57
96,0.357364,0.30319,4120.5,1249.3,2.4
97,0.39443,0.329456,2871.2,945.9,2.22
98,0.421194,0.347922,1925.2,669.8,2.07
99,0.482167,0.388505,1255.4,487.7,1.9
100,0.503011,0.401925,767.7,308.5,1.8
