Age,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
60,0.009523,0.008569,0.008181,0.008256,0.007892,0.009453,0.008233,0.008431,0.008306,0.008641,0.008722
61,0.009337,0.008776,0.009244,0.009501,0.009915,0.009505,0.008698,0.010186,0.008958,0.009387,0.008754
62,0.010673,0.010159,0.009836,0.009531,0.010672,0.010523,0.010339,0.011066,0.010362,0.010289,0.009369
63,0.011781,0.012066,0.01184,0.010231,0.01216,0.011231,0.011355,0.011755,0.011113,0.010478,0.011203
64,0.013023,0.012482,0.010641,0.012271,0.012635,0.011641,0.012278,0.011343,0.010859,0.011439,0.012503
65,0.013359,0.011304,0.01203,0.012576,0.013392,0.011975,0.014093,0.012367,0.010223,0.012895,0.015204
66,0.016266,0.013789,0.016309,0.015155,0.014887,0.014228,0.013729,0.014528,0.015582,0.014141,0.015069
67,0.016641,0.015246,0.014676,0.016555,0.016513,0.016023,0.015385,0.016476,0.015825,0.014394,0.01748
68,0.016988,0.017812,0.015836,0.016145,0.01627,0.014944,0.016705,0.017532,0.016819,0.016305,0.01787
69,0.020574,0.01732,0.018993,0.019744,0.017141,0.020046,0.019013,0.017759,0.019102,0.020913,0.019179
70,0.022846,0.020539,0.021032,0.019989,0.022835,0.020313,0.021665,0.019527,0.02168,0.024662,0.022149
71,0.023787,0.022262,0.020094,0.023355,0.021948,0.022977,0.022555,0.024669,0.02331,0.025846,0.024659
72,0.026674,0.023241,0.027672,0.02531,0.026657,0.025184,0.026097,0.028431,0.027264,0.027225,0.027037
73,0.026694,0.02757,0.025957,0.02517,0.027612,0.028962,0.028824,0.026733,0.031122,0.026644,0.027223
74,0.032058,0.032346,0.030888,0.031622,0.031598,0.032214,0.029276,0.032805,0.032226,0.033991,0.035695
75,0.036868,0.030653,0.035859,0.035741,0.036064,0.033971,0.033979,0.037065,0.036052,0.034042,0.035628
76,0.03859,0.033021,0.037974,0.038272,0.037384,0.038975,0.037931,0.040441,0.03903,0.039327,0.041363
77,0.045255,0.037311,0.041933,0.039471,0.041602,0.047046,0.044877,0.04041,0.042954,0.046363,0.048532
78,0.052436,0.045074,0.047484,0.044766,0.046787,0.046421,0.047542,0.045573,0.048852,0.043641,0.047691
79,0.059511,0.051217,0.051481,0.049469,0.057295,0.056028,0.051816,0.052959,0.049163,0.053762,0.057273
80,0.061995,0.054392,0.057149,0.057626,0.054618,0.059445,0.056672,0.059779,0.057587,0.061344,0.063072
81,0.068921,0.058648,0.068552,0.063974,0.064924,0.062562,0.06209,0.068429,0.070525,0.067086,0.068994
82,0.077131,0.067541,0.07486,0.071505,0.072906,0.071839,0.073398,0.075757,0.074317,0.076578,0.076278
83,0.086585,0.077424,0.085813,0.083239,0.072693,0.080636,0.079773,0.084529,0.087865,0.085023,0.080927
84,0.099804,0.087382,0.094307,0.089455,0.092826,0.089858,0.081011,0.096354,0.097885,0.098076,0.091779
85,0.108342,0.09646,0.100034,0.103348,0.103439,0.105806,0.107195,0.100685,0.108667,0.103645,0.114033
86,0.121155,0.105243,0.117833,0.120136,0.105457,0.11926,0.113183,0.120154,0.11788,0.119597,0.119364
87,0.133219,0.123204,0.12811,0.11708,0.117793,0.127371,0.127736,0.129864,0.123218,0.122866,0.134262
88,0.151364,0.128974,0.145034,0.144187,0.140788,0.141588,0.135092,0.142945,0.141439,0.149244,0.136791
89,0.165871,0.147618,0.159763,0.151719,0.154266,0.155392,0.151515,0.160377,0.164273,0.153788,0.18352
90,0.179932,0.163704,0.172791,0.154524,0.177618,0.178773,0.159292,0.182896,0.180699,0.187161,0.166101
91,0.199509,0.178955,0.196643,0.197674,0.214984,0.188527,0.199332,0.193514,0.199168,0.184134,0.172012
92,0.222352,0.197033,0.206604,0.208651,0.206384,0.205779,0.219355,0.232623,0.213873,0.190751,0.224961
93,0.237418,0.218691,0.248788,0.21519,0.222615,0.22737,0.235622,0.24839,0.225599,0.246772,0.249505
94,0.254144,0.252776,0.243697,0.251315,0.265033,0.269555,0.217338,0.22773,0.230189,0.297794,0.27027
95,0.272023,0.253129,0.239631,0.280403,0.284337,0.257002,0.289231,0.296206,0.290862,0.246117,0.268886
96,0.285714,0.263374,0.27897,0.318584,0.25711,0.276923,0.331081,0.260223,0.242735,0.365348,0.281967
97,0.347445,0.302326,0.306947,0.306028,0.283433,0.313131,0.314721,0.307692,0.330623,0.270784,0.254717
98,0.294243,0.368071,0.278846,0.345609,0.285714,0.476868,0.255738,0.419355,0.303448,0.28169,0.392857
99,0.348993,0.332248,0.361233,0.445596,0.333333,0.384615,0.459459,0.382979,0.346939,0.251852,0.516129
100,0.326087,0.360248,0.333333,0.428571,0.326241,0.266667,0.285714,0.425197,0.495413,0.413793,0.333333
